codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao,vento_rajada,radiacao,precipitacao
A604,02/01/2020,02,25.7,26.5,25.7,80,80,73,22.0,22.0,21.2,1002.2,1002.5,1002.2,0.7,32,2.5,-2.89,0.0
A604,02/01/2020,22,23.5,23.7,23.2,95,95,93,22.6,22.6,22.2,1003.9,1003.9,1003.0,0.4,273,2.0,3.505,0.2
A604,02/01/2020,19,24.6,33.7,24.6,79,79,45,20.7,21.3,18.0,1000.2,1000.2,998.6,6.9,313,13.2,338.0,4.4
A604,02/01/2020,18,33.7,35.6,33.7,45,46,40,20.1,21.3,19.2,999.1,999.9,999.1,2.1,201,4.7,2379.,0.0
A604,02/01/2020,17,35.4,35.6,33.8,42,48,40,20.7,21.4,19.2,999.9,1000.9,999.9,2.3,212,5.4,3588.,0.0
A604,02/01/2020,16,34.0,34.9,32.3,47,49,42,21.0,21.2,19.2,1000.9,1001.7,1000.9,2.1,203,6.6,3496.,0.0
A604,02/01/2020,15,32.7,33.6,31.8,46,54,45,19.6,21.6,19.6,1001.7,1002.2,1001.7,2.9,220,6.2,3792.,0.0
A604,02/01/2020,14,32.6,32.6,30.9,54,55,50,22.1,22.1,19.7,1002.2,1002.9,1002.2,2.3,207,5.4,3462.,0.0
A604,02/01/2020,11,28.3,28.3,27.1,65,70,64,20.9,21.4,20.4,1003.1,1003.2,1002.9,1.3,211,3.1,998.5,0.0
A604,02/01/2020,13,31.6,31.7,29.1,53,62,51,20.9,21.5,19.9,1002.9,1003.4,1002.9,2.0,233,4.9,2939.,0.0
A604,02/01/2020,12,29.0,29.1,28.3,61,65,58,20.7,21.0,19.7,1003.4,1003.5,1003.1,1.9,212,4.6,1784.,0.0
A604,02/01/2020,09,24.6,24.6,23.6,87,91,84,22.4,22.4,21.3,1002.5,1002.5,1001.9,1.1,236,3.0,90.14,0.0
A604,02/01/2020,08,24.2,25.6,23.9,84,89,74,21.3,22.0,20.5,1001.9,1001.9,1001.5,1.4,259,3.9,-3.42,0.0
A604,02/01/2020,07,24.0,24.6,24.0,89,89,86,22.0,22.2,21.9,1001.6,1001.6,1001.2,0.7,312,3.3,-3.53,0.0
